,sentence,aspect,sentiment
1900,i would not recommend this place ,other,Negative
1901,i tried their steamed momos and kurkure ones too which were not upto the mark ,quality,Negative
1902,they dont serve that spicy red chutney that was a bigger shock for me ,quality,Negative
1903,but nothing changed over the time in terms of service  rather it s turned worse over time ,quality,Negative
1904,there can t be an excuse of quality of food in exchange of service ,quality,Negative
1905,there can t be an excuse of quality of food in exchange of service ,service,Positive
1906,if food is the only yardstick  they fail to beat that as well ,quality,Negative
1907,dishes are pretty authentic but equally monotonous in taste ,quality,Negative
1908,dishes are pretty authentic but equally monotonous in taste ,environment,Positive
1909,as a customer  i would rather not visit to wait for two ordered dishes for an hour ,service,Negative
1910,worse food that can be had sooner is always better than slightly better food with infinitely worse service ,quality,Negative
1911,food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude ,quality,Positive
1912,food was good and the service was too slow we wait for 25 minutes but no one come on out table for the order oftet when we talk with manager he was also with full of attitude ,service,Negative
1913,after looking at all these good rdviews i thought the food would be great  but it was not  dominos pasta is far better than this i orderd salsa pasta cost 415 rs  not upto the mark  then ordered few more veg items nd they were not good   it does not justify the prices at all  i ate better pastas at my office restaurents at half the price  not happy with food quality ,price,Negative
1914,after looking at all these good rdviews i thought the food would be great  but it was not  dominos pasta is far better than this i orderd salsa pasta cost 415 rs  not upto the mark  then ordered few more veg items nd they were not good   it does not justify the prices at all  i ate better pastas at my office restaurents at half the price  not happy with food quality ,quality,Negative
1915,though ambience nd service was good   may b in veg they dont hve better quality food  ,quality,Negative
1916,though ambience nd service was good   may b in veg they dont hve better quality food  ,environment,Positive
1917,though ambience nd service was good   may b in veg they dont hve better quality food  ,service,Positive
1918,fries were very bad  i had to throw all of fries ,quality,Negative
1919,food is not good as previous  ,quality,Negative
1920,quantity reduced and price increased ,price,Negative
1921,quantity reduced and price increased ,quality,Negative
1922,price is 20  more than restaurant price ,price,Negative
1923,chicken doesn t tasted fresh  ,quality,Negative
1924,bad,other,Negative
1925,good ambience good spread  buffet for dinner yesterday night highly dissapointed about the vegetarian curries which were rottened  2 out of three were rottened ,quality,Negative
1926,good ambience good spread  buffet for dinner yesterday night highly dissapointed about the vegetarian curries which were rottened  2 out of three were rottened ,environment,Positive
1927,the triple pudding in the deserts with rottened fruits was pathetic ,quality,Negative
1928,overall vegetarian food for the buffet was ignored by the restaurant ,quality,Positive
1929,overall vegetarian food for the buffet was ignored by the restaurant ,service,Negative
1930,pls do takecare  bananaleaf  don t dissapoint your customers ,service,Negative
1931,quite disappointed ,other,Negative
1932,friday night perhaps got the service lil delayed ,service,Negative
1933,music too loud  too many smokers and the pizza had huge cubes of onions ,quality,Neutral
1934,music too loud  too many smokers and the pizza had huge cubes of onions ,environment,Negative
1935,ordered paneer butter masala and naans the curry had lot of food color and oil which is ok but two naans weren t even equal to one naan in general   they were way too small,quality,Negative
1936,it was not that great ,other,Negative
1937,so i had ordered chicken steamed momos on zomato and was disheartened to find that the momos have degraded further in it s taste ,quality,Negative
1938,the outer covering was dry and not well cooked ,quality,Negative
1939,it tasted like it was not freshly made ,quality,Negative
1940,the filling was not satisfying at all ,quality,Negative
1941,moreover the salt was a bit over the top ,quality,Neutral
1942,the sauce served was excessively salty and tasted like tomato sauce mixed with chilli paste ,quality,Negative
1943,not good at all ,other,Negative
1944,i had been in their shop quite e few times but this time it was really disappointing ,other,Negative
1945,there were mosquitoes in the restaurant ,environment,Negative
1946,the food was ok but there was a hygiene concern ,quality,Neutral
1947,the food was ok but there was a hygiene concern ,environment,Negative
1948,the pickled carrot was stale and had fungus ,quality,Negative
1949,the waiter replaced it but this is not expected of such a high profile restaurant ,service,Negative
1950,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,price,Negative
1951,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,quality,Negative
1952,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,environment,Positive
1953,we were 4 people who visited this place on thursday night    ambience and service are good  food is disappointed not worth for money we pay ,service,Positive
1954,late an food is cold an bad ,quality,Negative
1955,delivery boys shd carry change    ,service,Negative
1956,worse quality of food,quality,Negative
1957,to the management   please be careful while packing ,service,Negative
1958,i ordered tandoori roti and got rumali roti instead ,service,Negative
1959,worst experience in sense of service ,service,Negative
1960,they were taking forever to take the orders ,service,Negative
1961,we received piece of hair in one of the starter ,service,Negative
1962,quantity of all the starters was very less ,quality,Negative
1963,every time we needed to ask them to serve ,service,Negative
1964,they were leaving the starters just like that on table ,service,Negative
1965,all the dishes were average or can rate them below than that as well ,quality,Negative
1966,none of them was extraordinary ,quality,Neutral
1967,waiting for main course was more than 30 mins ,service,Negative
1968,offers are not good,quality,Negative
1969,the rice was not at all tasting like biryani and it is very cold,quality,Negative
1970,no cutlery  no seal on the box  poor packing ,service,Negative
1971,lo and behold   opening the food parcel was the item with the awful slimy  sickening mayo i had requested not to be added ,service,Negative
1972,and i might add   there was only meat and mayo   no vegetables such as included in shawarma ordered from better places  this was listed as  special shawarma   ,quality,Negative
1973,went with team for lunch over there   first proper parking is not there    resto is quiet small with very limited options in veg and non veg     ambience  starters  veg non veg main course everything is just avg    everything is just dull and avg   i mean neither food is spicy or tasty    it just avg and dull   ,quality,Negative
1974,went with team for lunch over there   first proper parking is not there    resto is quiet small with very limited options in veg and non veg     ambience  starters  veg non veg main course everything is just avg    everything is just dull and avg   i mean neither food is spicy or tasty    it just avg and dull   ,environment,Negative
1975,ambience and location is nice ,environment,Positive
1976,starters are good but main course is really horrible ,quality,Negative
1977,very small portion of drinks specially when they see you are busy in chatting or talking ,quality,Negative
1978,very small portion of drinks specially when they see you are busy in chatting or talking ,service,Negative
1979,the staff is polite but you have to chase them multiple times for taking orders ,service,Negative
1980,it said thali but not adequate quantity,quality,Negative
1981,milkshake is not good and it was not thick,quality,Negative
1982,deli 9 staff didn t have the basic courtesy to inform that for 4 diners  it would be appropriate to unlock 2 golds ,service,Negative
1983,they gave only 1 dish feee whereas we had ordered total of 7 across 4 diners ,service,Negative
1984,not so great ,other,Negative
1985,if you have been to any theobroma outlet in mumbai  you will realize how this place is full of shit ,other,Negative
1986,the brownies are very average ,quality,Neutral
1987,tea loaf is worse ,quality,Negative
1988,one word   underwhelming ,other,Negative
1989,plus  rude staff ,service,Negative
1990,i don t feel the taste of flavour that had ordered,quality,Negative
1991,the overall rating present for this restaurant doesn t justice the experience  will come to this in a bit   so  a small almost cute little place tucked in first floor with ambient lightings turned on  to give romantic dinner table feel  and apt audible english chartbusters couldn t go any wrong with setup and restaurant proudly own this ,environment,Positive
1992,with this as a beginning  shanghai chef takes the dinning experience to whole new diff level which is confusing at its best ,service,Positive
1993,waiters are surely not in the mood to offer appropriate tables to guests  not aware of all the food which is getting prepared in kitchen  not aware of all the  must try  dishes of their own menu   most of all courtesy seems to have been left at the mercy of the servers ,service,Negative
1994,like an example  since its not a fine dining we can t expect servers to serve your food left in the bowl again but same server at one table doing the same thing neglecting other tables left too much to be desired ,service,Negative
1995,this was the case  when a cockroach was found in one of the guests food and staff tried to avoid the scene blaming it to fate ,quality,Negative
1996,this was the case  when a cockroach was found in one of the guests food and staff tried to avoid the scene blaming it to fate ,service,Negative
1997,on the food side  crispy corn was good but avoid maonchow soup ,quality,Neutral
1998,flat noodles also served just warm that too after enquiring multiple times also  service takes the beating even if just half tables are filled ,quality,Negative
1999,flat noodles also served just warm that too after enquiring multiple times also  service takes the beating even if just half tables are filled ,service,Negative
2000,the rating is probably for food only  go at your own risk if your are looking for experience  ,quality,Positive
2001,it was not crispy by the time it reached me ,quality,Negative
2002,i also requested a green dipping chutney which was not delivered,service,Negative
2003,place looked good when entering but that was it  it went downhill from there ,environment,Positive
2004,it took three people from their staff one after the other to confirm what we had ordered and it was only one dish ,service,Negative
2005,we had to wait for 25 30 minutes for the order only to realise they had served it to somebody else ,service,Negative
2006,the staff seemed inexperienced ,service,Negative
2007,the toilet s location is just bad ,environment,Negative
2008,whenever somebody opens the toilet door the whole place stinks up like piss ,environment,Negative
2009,no miyo was given,quality,Negative
2010,service was too slow ,service,Negative
2011,waiters took some 20 minutes to realise we wanted to place an order ,service,Negative
2012,music was excessively loud  and reached a point where the speakers couldn t support the playback without distorting the music ,environment,Negative
2013,however the quality of liit was brilliant ,quality,Positive
2014,i didn t like food either,quality,Negative
2015,went here on a thursday  the staff were really pathetic in service and no zomato gold etc were eligible ,service,Negative
2016,they could have responded in a proper way when asked why it s not valid ,service,Negative
2017,the service is very bad ,service,Negative
2018,they are not offering the seats when they have whole restaurant empty ,service,Negative
2019,the food is good but the manager and staffs are not that encouraging ,quality,Positive
2020,the food is good but the manager and staffs are not that encouraging ,service,Negative
2021,average,other,Neutral
2022,no cultnery with food soup was delivered in pouch  how a person is supposed to drink a soup from a pouch and soup taste was also little odd ,quality,Negative
2023,no cultnery with food soup was delivered in pouch  how a person is supposed to drink a soup from a pouch and soup taste was also little odd ,service,Negative
2024,i was disappointed with taste and quality of the food ,quality,Negative
2025,the service was mediocre and it seems to no make justice to call itself a branch of khaan saab ,service,Negative
2026,even ambience seemed to be a cheap knockoff service was okay ,environment,Negative
2027,even ambience seemed to be a cheap knockoff service was okay ,service,Neutral
2028,bad customer service ,service,Negative
2029,first we booked table near screen still they didn t give and they make people stand near screen ,service,Negative
2030,how the hell should we watch the match ,other,Negative
2031,horrible biryani this is what we got when we ordered on swiggy ,quality,Negative
2032,it looks like you just want to make money selling biryani and left over pieces,other,Negative
2033,just wanted to share this while i ordered a chicken maggie today  instead of chicken i received marinated fried maida balls majority of it  which looked like chicken ,quality,Negative
2034,this was my second visit to the place and i am very disappointed for the following reasons   1  the first time i visited they were not serving alcohol due to some license issue  i dicided to give it another shot and came again ,other,Negative
2035,it s as hard a a rock ,quality,Negative
2036,cheese all dried up and all you can taste is toasted white bread  3  ordered moong daal chilla it was just fine raw onion ruined it for me  4  dj was pathetic ,quality,Negative
2037,cheese all dried up and all you can taste is toasted white bread  3  ordered moong daal chilla it was just fine raw onion ruined it for me  4  dj was pathetic ,environment,Negative
2038,it was supposed to be  bollywood hangover  he kept playing some bad music and it was too loud to order food without yelling in waiter s ear let alone having a conversation with your friends ,environment,Negative
2039,ps  if you are playing hollywood atleast play some thing that people hear  unnecessarily mixing on popular song does not make you a good dj ,environment,Negative
2040,overrated and hyped ,other,Negative
2041,this place is known for its rusty garage like interiors  where you can rent some top notch automobiles ,environment,Positive
2042,the cafe in  driven cafe  is rather disappointing  staff isn t very friendly  nor very observant to details ,service,Negative
2043,they ask for extra money for everything even when the coffee costs similar to expensive coffee chains ,price,Negative
2044,they ask for extra money for everything even when the coffee costs similar to expensive coffee chains ,service,Negative
2045,i had mocha and coffee crunch  both of which were average at its best and weren t something that i would remember ,quality,Neutral
2046,good food and economically priced ,price,Positive
2047,good food and economically priced ,quality,Positive
2048,service was also good ,service,Positive
2049,most disappointing part is their crowd management ,service,Negative
2050,no bouncers to check what is going on floor ,service,Negative
2051,stags misbehaving with girls  trying to feel them  smoking on floor  no one is there to look around ,service,Negative
2052,just for their business they r letting everyone in ,service,Negative
2053,as there is no security for them ,service,Negative
2054,one should enjoy the party but with some limits ,service,Negative
2055,the management should look into this aspect and try to sort it out or else the place will become like its name a rouge place ,service,Negative
2056,lot of cheap crowd on saturday night better to avoid ,service,Negative
2057,2 stars for the place for rest 3  need good food  service  presentation and experience  lets start with the good part for which the two stars ,quality,Positive
2058,2 stars for the place for rest 3  need good food  service  presentation and experience  lets start with the good part for which the two stars ,environment,Positive
2059,ambience   location and the place is amazing nothing like other places in hyd ,environment,Positive
2060,outdoor has this chil lounge vibe with good house music and indoor being this good energy family or dinner vibe ,environment,Positive
2061,thats it to the place and good part ,other,Positive
2062,service was bad  food was ok ,quality,Neutral
2063,service was bad  food was ok ,service,Negative
2064,if a restaurant does not serve filter water it is a huge problem ,service,Negative
2065,buying water is a choice not force ,service,Negative
2066,first turnoff   dont have kingfisher beers ,quality,Negative
2067,pizza was the best part and yet i would say a 3 5 5 ,quality,Positive
2068,generous amount of sauce and cheese but 3 basil leaf to count ,quality,Positive
2069,we asked for mustard and denied ,service,Negative
2070,the platter had many things but of of which was paneer tikka n no grilled onion or peppers or tomato ,quality,Neutral
2071,whole platter didnt come with any onion et al side ,quality,Negative
2072,extra chutney took forever to come ,service,Negative
2073,tiramisu was average will not try again or recommend  cheesecake was pretty bad ,quality,Negative
2074,packed to throw i guess ,quality,Negative
2075,the blueberry on it    is red color which is super confusing ,quality,Neutral
2076,the creamcheese itself i would guess will be cheaper kind making it hard ,quality,Negative
2077,they gave a birthday brownie  which frankly was average too ,quality,Neutral
2078,however  the server comes and tells me during payment  i have not charged you for brownie ,service,Negative
2079,wtf     ,other,Negative
2080,overall i will recommend to go to njoy the place and have few drinks ,other,Positive
2081,food quality is good ,quality,Positive
2082,but not so many items  like crabs  octopus  kofta are available   particularly in this branch which are available at other branches of bn or abs ,quality,Negative
2083,so  it was really disappointing ,other,Negative
2084,also service was a bit slow  we really had to wait for items to come on our table in between ,service,Negative
2085,that really turns off our mood though the waiters are jolly n try to make us feel good ,service,Positive
2086,ac facility was good  very cold ,environment,Positive
2087,but i don t recommend this place ,other,Negative
2088,been here today with teammates and the food for non vegetarian was not up to the mark ,quality,Negative
2089,all the chicken starters had small pieces of bones ,quality,Negative
2090,every bite was with a bone ,quality,Negative
2091,the main course was just ok ,quality,Neutral
2092,this particular item not properly cooked ,quality,Negative
2093,taste also not good,quality,Negative
2094,ambience looked classic with those vintage vibes ,environment,Positive
2095,ordered penne in alfredo sauce which took 40 mins for them to serve ,service,Negative
2096,it tasted average ,quality,Neutral
2097,it was loaded with way too much of cheese which i don t expect in pastas  i wouldn t mind that if it was a pizza though  ,quality,Negative
2098,price is too high on deserts,price,Negative
2099,not worth the hype created  the service is not worth the cost ,price,Negative
2100,not worth the hype created  the service is not worth the cost ,service,Negative
2101,many dishes from the menu was not available saying we re not serving indian food ,quality,Negative
2102,when ordered cold drink they gave 500ml bottle and paper cup  for a restaurant of this level you expect proper glasses for drinks ,service,Negative
2103,the taste was okay but the rice quality was not what i get in paradise or other biryani place ,quality,Negative
2104,my first mandi experience in hyderabad was not good ,quality,Negative
2105,overrated place ,other,Negative
2106,it s a disappointment and below par as per taste ,quality,Negative
2107,we had panok prawns  you could taste the batter  it s basically the deep fried prawns however the taste is not at al upto the mark ,quality,Negative
2108,schewan noddles and chicken garlic sauce is below par ,quality,Negative
2109,nothing great about the place ,other,Negative
2110,the ambinence was good but the food was nt that much of good which i expected from them  ,quality,Negative
2111,the ambinence was good but the food was nt that much of good which i expected from them  ,environment,Positive
2112,the staff was rude and nt proffesional  ,service,Negative
2113,worst experience that i ever had in my life,other,Negative
2114,below average restaurant food is not that good most people go there for buffet they served cheap welcome drink which infected my throat thats,quality,Negative
2115,i ordered corn fry magi which came overfried   and the other order double egg and double chicken magi is also not that good     ,quality,Negative
2116,size is small,quality,Negative
2117,naan is not gud    ,quality,Negative
2118,have been to lunch with friends here today  first things  ambiance seems to be pretty good  i think people just carried on ambiance for this location ,environment,Positive
2119,serving is damn slow  even though not much of crowd in the restaurant ,service,Negative
2120,price is pretty on a higher side  virgin mojito just tasted as mint lemon drink ,price,Negative
2121,price is pretty on a higher side  virgin mojito just tasted as mint lemon drink ,quality,Negative
2122,we need to ask several times to serve  also when we for main course figured out that few dishes were not served to us which were part of starters  when asked  the same was brought later  welcome drink is the one which is served after several remainders and tasted bad ,quality,Negative
2123,we need to ask several times to serve  also when we for main course figured out that few dishes were not served to us which were part of starters  when asked  the same was brought later  welcome drink is the one which is served after several remainders and tasted bad ,service,Negative
2124,desserts were not so great and not many ,quality,Negative
2125,felt with the cost that was paid this is not much upto mark ,price,Negative
2126,felt with the cost that was paid this is not much upto mark ,quality,Negative
2127,all in all pathetic service  you will literally ask  n  number of times for food which is served on table ,service,Negative
2128,not a wide range of dishes ,quality,Negative
2129,taste not so great especially with mock tails ,quality,Negative
2130,totally disappointed,other,Negative
2131,thr place is good and the food was great  however the service was slow ,quality,Positive
2132,thr place is good and the food was great  however the service was slow ,environment,Positive
2133,thr place is good and the food was great  however the service was slow ,service,Negative
2134,in mutton biryani the mutton was half cooked which was a spoiler ,quality,Negative
2135,at last we ordered mutton rogan josh and i took ages to be delivered  finally we had to cancel the order and leave ,service,Negative
2136,service is very bad they dont now how to treat customer ,service,Negative
2137,they will not suggest what is the special today ,service,Negative
2138,taste is good but improve ur service ,quality,Positive
2139,service is very slow i call many times to the service boy but he is not responding proper ,service,Negative
2140,hotel environment is good and taste is awesome ,quality,Positive
2141,hotel environment is good and taste is awesome ,environment,Positive
2142,but i will not satisfy the service ,service,Negative
2143,a decent place for party and a cozy climate too ,environment,Positive
2144,veg manchurian was great and chicken kebabs were fine ,quality,Positive
2145,first thing that disappoints me is there is no drought beer and the most annoying thing was the behaviour of the manager  akthar  ,quality,Negative
2146,first thing that disappoints me is there is no drought beer and the most annoying thing was the behaviour of the manager  akthar  ,service,Negative
2147,there has to be some respect towards the guests and the managers was bossing everyone around ,service,Negative
2148,i m giving this a two star only coz of him else i would have given a 4 maybe if i had the drought beers ,quality,Negative
2149,i m giving this a two star only coz of him else i would have given a 4 maybe if i had the drought beers ,service,Negative
2150,food quality and taste is not good ,quality,Negative
2151,super slow service ,service,Negative
2152,nice ambience but very poor in customer handling ,environment,Positive
2153,nice ambience but very poor in customer handling ,service,Negative
2154,lot of items not available even if in the menu ,quality,Negative
2155,a sheer disappointment on 12th may 2018 at the buffet dinner  ,quality,Negative
2156,the food was served cold   the service wasn t up to the mark  ,quality,Negative
2157,the food was served cold   the service wasn t up to the mark  ,service,Negative
2158,the only please take thing was the chef guiding us through the course of the meal  ,service,Positive
2159,the bill was a hand written one with no copy provided  ,service,Negative
2160,the balance cash was returned after half an hour  ,service,Negative
2161,utter useless service and truly disappointed  ,service,Negative
2162,you surely lost a loyal customer  ,other,Negative
2163,but the bun is so hard that it spoiled the taste ,quality,Negative
2164,first i will talk about the quantity it was upto thw mark as per the price of the food abd now coming to the taste  ,price,Negative
2165,first i will talk about the quantity it was upto thw mark as per the price of the food abd now coming to the taste  ,quality,Negative
2166,fried rice was disgusting because it was like made from rice of last night and it was not good to eat ,quality,Negative
2167,coming to manchurian i will say it was a average manchurian and not that good ,quality,Negative
2168,the ambiance is pretty ambivalent with that of a buffet restaurant and casual dining space ,environment,Positive
2169,it was well lit but could really deck up a few notches ,environment,Positive
2170,it was more like a corporate dining room rather than a restaurant ,environment,Negative
2171,upon arrival  were served welcome drink which was good but not living up to the expectation ,quality,Positive
2172,upon arrival  were served welcome drink which was good but not living up to the expectation ,service,Positive
2173,the manager at this place was a nice fellow ,service,Positive
2174,who carefully took our order of dragon chicken  punjabi chicken curry  and garlic naan ,service,Positive
2175,i would have like the dish to be more crispy and dry  so that the flavours stick to the chicken ,quality,Negative
2176,it was a hurried preparation of a dish with no amount of time spared for presentation ,service,Negative
2177,the servers need to be taught a little bit about serving ,service,Negative
2178,they were fumbling and also were handling hot utensils without using tissue papers ,service,Negative
2179,simply put  it was a disaster ,quality,Negative
2180,the curry was as bland as it could be ,quality,Negative
2181,most restaurants in this part of india assume that all dishes of punjab are made with tandoori chicken and they seriously need to get out of this blind belief ,quality,Negative
2182,we could only experience the tandoori chicken as the curry had no taste of its own ,quality,Negative
2183,it was just sitting there doing nothing ,quality,Negative
2184,neither it was spicy  not it was tangy ,quality,Negative
2185,it was going nowhere ,quality,Negative
2186,they say they are multi cuisine  but multi cuisine doesn t mean  you can make disaster dishes and pass them off ,other,Negative
2187,the restaurant is confused whether it should cater to immigrant north indian population or the traditional south indian population ,other,Negative
2188,one thing that screams out their confusion about the above is their buffet menu ,other,Negative
2189,they tried to make it a fusion and have ended it making a confusion ,other,Negative
2190,had the restaurant  been a traditional southern one  i would have been pleased to order a plate of traditional andhra chicken on a banana leaf and would have eaten to my hearts content ,other,Negative
2191,the restaurant needs to find its footing ,other,Negative
2192,the owners need to decide which way they want to go ,other,Negative
2193,very spicy shawarma  not for people like who don t eat spicy ,quality,Neutral
2194,based on rating went to try but it was very spicy couldn t finish it and ended up having upset stomach ,quality,Negative
2195,this place has decent breakfast options but the omlettes are just ordinary with not much u can praise about and yeah it comes with one bread piece ,quality,Neutral
2196,filter coffee was decent though bitter ,quality,Neutral
2197,you will get better omlettes anywhere else  this is hyped ,quality,Negative
2198,gongura biryani was nice but quantity for two people is too much and apollo fish was not tasty,quality,Negative
2199,food is cold   n not even tasty,quality,Negative
2200,very less quantity ,quality,Negative
2201,i had gone for lunch a few days back and no doubt the place and food is amazing but i was not given the dessert which was included in the platter and the staff is always looking at you while you re eating  until you finish ,quality,Positive
2202,i had gone for lunch a few days back and no doubt the place and food is amazing but i was not given the dessert which was included in the platter and the staff is always looking at you while you re eating  until you finish ,environment,Positive
2203,i had gone for lunch a few days back and no doubt the place and food is amazing but i was not given the dessert which was included in the platter and the staff is always looking at you while you re eating  until you finish ,service,Negative
2204,2 stars for food and ambience respectively but for the service they provide  i m not at all happy with the place ,quality,Positive
2205,2 stars for food and ambience respectively but for the service they provide  i m not at all happy with the place ,environment,Positive
2206,2 stars for food and ambience respectively but for the service they provide  i m not at all happy with the place ,service,Negative
2207,the ambience is good ,environment,Positive
2208,but the food wasn t upto the mark ,quality,Negative
2209,the non veg starters were horrible ,quality,Negative
2210,full of bones ,quality,Negative
2211,the veg starters were okayish ,quality,Neutral
2212,the variety was less ,quality,Negative
2213,the main course was okay ,quality,Neutral
2214,there was variety but no taste ,quality,Neutral
2215,there were hardly any desserts ,quality,Negative
2216,disappointed ,other,Negative
2217,the rating is such because of the name we had thought it was like an american grill restaurant shocked by the indian spread  food was ordinary  no choice in red meats and no grill pls change the name  gives out the wrong idea,quality,Negative
2218,the noodles were so fat and without any taste ,quality,Negative
2219,the sauces or the fry that noodles went through  there was no taste at all in it ,quality,Negative
2220,it was not even having the basic salt ,quality,Negative
2221,thus  i could not even complete the noodles ,quality,Negative
2222,was not at all satisfied with the noodles combo box ,quality,Negative
2223,unhappy ,other,Negative
2224,mezze platter had no taste and they took over 45 mins to prepare the food in spite of showing an expected delivery time of 30 mins ,service,Negative
2225,not satisfied with service or taste ,quality,Negative
2226,not satisfied with service or taste ,service,Negative
2227,thumbs down for me ,other,Negative
2228,given that the ambiance and maintenance is pathetic ,environment,Negative
2229,it looks and feel extremely unhygienic to the point that we had second thoughts eating there ,environment,Negative
2230,staff was extremely disorganized and there were many customers seen complaining ,service,Negative
2231,so for ambiance and hygiene it s a complete no    food was okay we ordered apollo fish starter which was very hard ,quality,Negative
2232,so for ambiance and hygiene it s a complete no    food was okay we ordered apollo fish starter which was very hard ,environment,Negative
2233,and spcl mutton biryani which was good but nothing exceptional and paradise or pista house has better taste than it ,quality,Neutral
2234,quantity wise it was sufficient for both of us ,quality,Positive
2235,and it was pocket friendly hence 2 ratings ,price,Positive
2236,i would not be visiting or suggesting this place to anyone ,other,Negative
2237,this restaurant provides good food only but i was not happy about that i had asked for double masala but they didn t gave me that food so was upset at that time,service,Negative
2238,chocolate quality is very bad considering the high price ,quality,Negative
2239,it tastes similar to an equivalent 30 rupees milkshake you get in cartons ,quality,Negative
2240,i so lodge recommend this to anyone ,other,Negative
2241,not a place i would visit again ,other,Negative
2242,menu is very limited and cocktails got no alcohol at all ,quality,Negative
2243,visited on a friday night and totally disappointed ,other,Negative
2244,crowd also not good  ,environment,Positive
2245,never visit would be my advice    hyderabad got tons of better options ,other,Negative
2246,food is cool,quality,Negative
2247,we have ordered paneer manchurian but all pieces of paneer are very hard to bite struggled alot  got irritated that s why we won t prefer this to anyone,quality,Negative
2248,i ordered mexican corn and punjabi aloo paratha  quality  1 5   i didnt like it at all   parathas were very thick and hard plus burnt   chutney was so tasteless that i felt i am eating grass and salt  quantity 3 5  2 parathas with chutney   curd and butter  value for money 1 5  packaging  5 5,price,Positive
2249,i ordered mexican corn and punjabi aloo paratha  quality  1 5   i didnt like it at all   parathas were very thick and hard plus burnt   chutney was so tasteless that i felt i am eating grass and salt  quantity 3 5  2 parathas with chutney   curd and butter  value for money 1 5  packaging  5 5,quality,Negative
2250,i ordered mexican corn and punjabi aloo paratha  quality  1 5   i didnt like it at all   parathas were very thick and hard plus burnt   chutney was so tasteless that i felt i am eating grass and salt  quantity 3 5  2 parathas with chutney   curd and butter  value for money 1 5  packaging  5 5,service,Positive
2251,visited this place for the good experience we hd earlier at their jubilee hills outlet but at yachi bolu it was a disappointing experience purina chutney was sour   methi chicken was bitter ,quality,Negative
2252,visited this place for the good experience we hd earlier at their jubilee hills outlet but at yachi bolu it was a disappointing experience purina chutney was sour   methi chicken was bitter ,other,Negative
2253,don t think will visit again ,other,Negative
2254,attitude of service staff was ok ,service,Neutral
2255,chokha was worse or stale ,quality,Negative
2256,paneer tikka was painted in orange color ,quality,Negative
2257,very inexperienced way of delivering ,service,Negative
2258,overall not recomend ,other,Negative
2259,never try ulvacharu biryani here  the worst i ever had dont at all try any biryanis  and the butter chicken was too sweet and the butter naan wer too hard,quality,Negative
2260,i love karachi for its taste ,quality,Positive
2261,no issues with the food ,quality,Neutral
2262,they just threw the pastry in the box and no spoon was given ,service,Negative
2263,however the pastry was awesome ,quality,Positive
2264,restaurant with lot of open place and average food ,quality,Neutral
2265,restaurant with lot of open place and average food ,environment,Positive
2266,went with friends for lunch  what ever we ordered veg or non veg  started   main course all are not upto mark ,quality,Negative
2267,no one of us r happy with food served ,quality,Negative
2268,serving is fast  ambience is ok ,environment,Neutral
2269,serving is fast  ambience is ok ,service,Positive
2270,no napkins provided n all the sauce was coming out already   ,service,Negative
2271,packing was poor n cheap    not so satisfied even with the taste,quality,Negative
2272,packing was poor n cheap    not so satisfied even with the taste,service,Negative
2273,thrice i visited this place thinking it might change my opinion but as always it was a disappointment ,other,Negative
2274,the staff and the manager extremely rude the service really bad ,service,Negative
2275,looks like the place does not need customers at all coz i haven t come across any waiter who would refuse to serve ,service,Negative
2276,complained to the manger who was equally rude  ,service,Negative
2277,food and drinks are alright but i got wine served in a plastic foggy glass   i go out for the experience when i spend money   ,quality,Neutral
2278,food and drinks are alright but i got wine served in a plastic foggy glass   i go out for the experience when i spend money   ,service,Negative
2279,i m not sure about the others but i had a horrible experience ,other,Negative
2280,we went to urban asia for lunch around 1 30 on a sunday for ala carte and i certainly would not recommend it for anyone ,other,Negative
2281,though the food was good  the service was pathetic ,quality,Positive
2282,though the food was good  the service was pathetic ,service,Negative
2283,we were ignored for more than half an hour despite calling for the waiters multiple times ,service,Negative
2284,we were not even given the speciality menus despite specifically asking for it ,service,Negative
2285,i personally liked the bagel with cheese and capuccino ,quality,Positive
2286,we were disturbed by the noise and hence couldn t stay longer ,environment,Negative
2287,good for groups ,other,Positive
2288,good place to go around ambience is good and crowd is good over weekends food was not that good which i thought of must try jalepeno cheese poppers ambience 4 5 food 3 5 seevice  3 5 5,quality,Neutral
2289,good place to go around ambience is good and crowd is good over weekends food was not that good which i thought of must try jalepeno cheese poppers ambience 4 5 food 3 5 seevice  3 5 5,environment,Positive
2290,the place has good service too  the servers are helpful ,service,Positive
2291,price is nice but quantity of curry not good ,price,Positive
2292,price is nice but quantity of curry not good ,quality,Negative
2293,ok,other,Neutral
2294,delicious shawarmas i tasted over here ,quality,Positive
2295,so try here once in life time  ,other,Positive
2296,especially i like samoli and khaliooz ,quality,Positive
2297,rumali is not so good ,quality,Negative
2298,nice nice,other,Positive
2299,moreover  i didn t want to spend more than a hundred bucks on the brunch ,price,Negative
2300,this was the only restaurant on my mind ,other,Positive
2301,you can order a paratha soaked in butter with raita  chutney and onions ,other,Neutral
2302,it is heavenly  all for less than 100 ,price,Positive
